Word,1
aardvark,1
beluga,20
cockatoo,49
crayfish,58
crocodile,59
dalmatian,64
dog,70
dragonfly,76
fish,90
flamingo,91
flyingfish,94
frog,97
goose,109
grouse,113
guineapig,116
hedgehog,121
hummingbird,127
kiwi,137
kookaburra,139
lark,144
lion,147
magpie,157
mallard,158
opossum,180
platypus,197
